Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Custom built Schooner;https://www.yachtall.com/en/boat/custom-built-schooner-s131059; Caterpillar C18 Acert, 873 hp (642 kW), diesel; Bavaria, used boat; 52.43 m x 8.53 m;2014;Spain, Valencia;24500000;Bavaria;52.43;8.53;9
Ridas Yacht Ketch Melody;https://www.yachtall.com/en/boat/ridas-yacht-ketch-melody-s215507; Volvo Penta, 500 hp (368 kW); Hurley, used boat, GRP/polyester; 35.32 m x 7.40 m;2022;Croatia, Tallin;19000000;Hurley;35.32;7.4;1
Custom Line Build Sailing Yacht;https://www.yachtall.com/en/boat/custom-line-build-sailing-yacht-s199438; Caterpillar, 2 x 1,604 hp (1,180 kW), diesel; Frans Maas, old-timer, GRP/polyester; 50 m x 10.50 m;2019;Germany, Türkei;15950000;Frans Maas;50;10.5;4
Van der Graaf Classic Schooner;https://www.yachtall.com/en/boat/van-der-graaf-classic-schooner-s126196; Yanmar, 755 hp (555 kW), diesel; Bavaria, used boat, GRP/polyester; 65.84 m x 8.85 m;2010;France, Contact De Valk Antibes;12000000;Bavaria;65.84;8.85;13
Three-mast Schooner Van der Graaf Atlantic;https://www.yachtall.com/en/boat/three-mast-schooner-van-der-graaf-atlantic-s156763; Yanmar, 750 hp (552 kW); Goetz Custom Sailboats, used boat, Kevlar/Carbon; 56.39 m x 8.85 m;2010;France, Méditerranée;12000000;Goetz Custom Sailboats;56.39;8.85;13
Nautor's Swan 115;https://www.yachtall.com/en/boat/nautors-swan-115-s157299; Sweden Marine VGT 400, 450 hp (331 kW), diesel; Elan, used boat, GRP/polyester; 35.11 m x 8.12 m;2016;Spain, Badalona;7950000;Elan;35.11;8.12;7
Baltic 112;https://www.boat24.com/en/sailingboats/baltic/baltic-112/detail/551032/;1 x 399 HP / 293 kW;;35.77 x 7.98 m;2011;Spain » Mallorca » Palma de Mallorca;7500000;Baltic;35.77;7.98;12
Nautor's Swan 100;https://www.yachtall.com/en/boat/nautors-swan-100-s207676; Perkins Sabre, 261 hp (192 kW), diesel; Moody, used boat, GRP/polyester; 30.21 m x 7.06 m;2005;Spain, Palma Di Maiorca, Isola d’Elba;7500000;Moody;30.21;7.06;18
Fitzroy Yachts;https://www.yachtall.com/en/boat/fitzroy-yachts-s201672; Caterpillar 3406E, 700 hp (515 kW), diesel; Great Dane, used boat, GRP/polyester; 37.49 m x 8.23 m;2005;USA, Rhode Island, Newport;7000000;Great Dane;37.49;8.23;18
Miti Navi 34;https://www.yachtall.com/en/boat/miti-navi-34-s202012; Baudouin 6W126M - P2 Duty, 2 x 450 hp (331 kW), diesel; Black Sea Yachtyard, used boat, steel boat; 34.06 m x 8.23 m;2021;Turkey, Bodrum;6637814;Black Sea Yachtyard;34.06;8.23;2
Oyster 101;https://www.yachtall.com/en/boat/oyster-101-s199090; Cummins QSM 11; Jongert, used boat, steel boat; 30.80 m x 7.57 m;2012;France, Saint-Tropez;6300000;Jongert;30.8;7.57;11
Oyster 885;https://www.boat24.com/en/sailingboats/oyster/oyster-885/detail/521153/;1 x 330 HP / 243 kW;;27.08 x 6.33 m;2015;Slovenia » Contact De Valk Istria;5450000;Oyster;27.08;6.33;8
Oyster 885;https://www.yachtall.com/en/boat/oyster-885-s194309; Cummins, 330 hp (243 kW), diesel; Oyster Marine, used boat, GRP/polyester; 27.08 m x 6.33 m;2015;Slovenia, Contact De Valk Istria;5450000;Oyster Marine;27.08;6.33;8
Oyster 885;https://www.yachtall.com/en/boat/oyster-885-s209194; Cummins QSL 9-M, 330 hp (243 kW), diesel; Oyster Marine, used boat, GRP/polyester; 26.06 m x 6.33 m;2015;Croatia;5450000;Oyster Marine;26.06;6.33;8
Perini NAVI Piropo IV;https://www.yachtall.com/en/boat/perini-navi-piropo-iv-s158732; Yanmar 3YM30, 27 hp (20 kW), diesel; Bénéteau, used boat; 46.50 m x 9.20 m;1991;Italy, L;5350000;Bénéteau;46.5;9.2;32
Oyster 82;https://www.yachtall.com/en/boat/oyster-82-s213624; Cummins; Jeanneau, used boat; 25.15 m x 6.31 m;2019;France, Saint-Tropez;5300000;Jeanneau;25.15;6.31;4
Conrad 91;https://www.boat24.com/en/sailingboats/conrad/conrad-91/detail/504685/;1 x 355 HP / 261 kW;;27.93 x 7.48 m;2016;Croatia » Contact De Valk Dalmatia;4900000;Conrad;27.93;7.48;7
Conrad 91;https://www.yachtall.com/en/boat/conrad-91-s181000; Cummins, 355 hp (261 kW), diesel; Conrad Shipyard, used boat, aluminium boat; 27.93 m x 7.48 m;2016;Croatia, Contact De Valk Dalmatia;4900000;Conrad Shipyard;27.93;7.48;7
Vismara Momi M80;https://www.boat24.com/en/sailingboats/vismara/vismara-momi-m80/detail/520680/;;;26.20 x 5.80 m;2021;Italy » Viareggio;4500000;Vismara;26.2;5.8;2
SU Marine Ketch 36;https://www.yachtall.com/en/boat/su-marine-ketch-36-s182038; Scania, 600 hp (441 kW), diesel; Bénéteau, used boat; 35.60 m x 7.30 m;2014;France, Marseille;4500000;Bénéteau;35.6;7.3;9
Nautor's Swan 90;https://www.yachtall.com/en/boat/nautors-swan-90-s202901; diesel; Nautor's Swan, used boat; 27.71 m x 6.46 m;2010;Italy;4400000;Nautor's Swan;27.71;6.46;13
Nautor's Swan 90;https://www.yachtall.com/en/boat/nautors-swan-90-s202902; Volvo Penta MD22L, 55 hp (40 kW), diesel; Nautor's Swan, used boat; 27.71 m x 6.46 m;2008;Italy, Genoa;4300000;Nautor's Swan;27.71;6.46;15
SALMAKIS TUR.TIC.YAT KETCH;https://www.boat24.com/en/sailingboats/salmakis-turticyat-ketch/detail/427210/;2 x 550 HP / 405 kW;;35.50 x 8.35 m;2011;Turkey » Bodrum;4000000;SALMAKIS;35.5;8.35;12
Chantier Bertin Custom Built;https://www.yachtall.com/en/boat/chantier-bertin-custom-built-s170491; Cummins, 2 x 1,350 hp (993 kW), diesel; Jeanneau, used boat; 43 m x 9.30 m;2019;Egypt, Hurghada;4000000;Jeanneau;43;9.3;4
Salmakis TUR.TIC.YAT Ketch;https://www.yachtall.com/en/boat/salmakis-tur.tic.yat-ketch-s113634; Volvo Penta, 550 hp (405 kW), diesel; Dufour, used boat, GRP/polyester; 35.50 m x 8.35 m;2011;Turkey, Bodrum;4000000;Dufour;35.5;8.35;12
"Maxi Dolphin 75 ""by Mills Design""";https://www.boat24.com/en/sailingboats/maxi-dolphin/maxi-dolphin-75-by-mills-design/detail/518665/;;;22.85 x 6.10 m;2018;Italy » Sardinië;3950000;Maxi;22.85;6.1;5
Southern WIND 100;https://www.yachtall.com/en/boat/southern-wind-100-s201465; Cummins, 305 hp (224 kW); Dufour, used boat, GRP/polyester; 30.20 m x 6.70 m;2006;France, Saint-Tropez;3950000;Dufour;30.2;6.7;17
Wally 100ft;https://www.yachtall.com/en/boat/wally-100ft-s198062; Cummins QSB5.9-335, 1 x 250k (339,9 PS), diesel; Koopmans, used boat, aluminium boat; 30.50 m x 6.80 m;2009;Spain, Palme de Majorque;3800000;Koopmans;30.5;6.8;14
Nautor's Swan 100;https://www.yachtall.com/en/boat/nautors-swan-100-s202890; Perkins Sabre M300Ti (rebuilt in 2016, 296 hp (218 kW), diesel; Franchini Yachts, used boat, GRP/polyester; 30.21 m x 7.06 m;2006;Spain, Palma de Mallorca;3800000;Franchini Yachts;30.21;7.06;17
MAXI 72;https://www.yachtall.com/en/boat/maxi-72-s197619; 110 hp (81 kW); Elan, used boat; 21.90 m x 5.70 m;2017;Spain, Palma de Majorque;3700000;Elan;21.9;5.7;6
Truly Classic 90;https://www.yachtall.com/en/boat/truly-classic-90-s214285; Lugger 250 HP, 250 hp (184 kW); J & G Forbes & Co Boat Builders, used boat, aluminium boat; 27.50 m x 6.02 m;2009;Spain, Palma de Majorque;3600000;J & G Forbes & Co Boat Builders;27.5;6.02;14
Wally Yachts 107 B;https://www.yachtall.com/en/boat/wally-yachts-107-b-s158396; no engine; X-Yachts, used boat; 32.70 m x 7.92 m;1998;France, Saint-Tropez;3500000;X-Yachts;32.7;7.92;25
German Frers 105;https://www.yachtall.com/en/boat/german-frers-105-s210034; Volvo Penta, 18 hp (13 kW); Bénéteau, used boat, GRP/polyester; 32.50 m x 7.38 m;1989;Spain, Palamos;3500000;Bénéteau;32.5;7.38;34
Swan 76 with a Lifting Keel;https://www.yachtall.com/en/boat/swan-76-with-a-lifting-keel-s163003; Yanmar 2 x 110 HP, 110 hp (81 kW), diesel; Nautor's Swan, used boat, Kevlar/Carbon; 23.20 m x 5.63 m;2007;Italy, Genova;3500000;Nautor's Swan;23.2;5.63;16
Nautor's Swan 100 S;https://www.yachtall.com/en/boat/nautors-swan-100-s-s214982; Perkins Sabre M300Ti (rebuilt in 2016, 296 hp (218 kW), diesel; Bénéteau, used boat, GRP/polyester; 30.21 m x 7.06 m;2006;USA;3495000;Bénéteau;30.21;7.06;17
34m Composite Hull Luxury Yacht;https://www.yachtall.com/en/boat/34m-composite-hull-luxury-yacht-s113728; John Deere, 2 x 450 hp (331 kW), diesel; Valk, old-timer, aluminium boat; 9.50 m x 2.70 m;2009;Turkey, Bodrum;3480000;Valk;9.5;2.7;14
Catamaran 20mt;https://www.yachtall.com/en/boat/catamaran-20mt-s214741; Yanmar 4LV170, 2 x 170 hp (125 kW), diesel; Etap, used boat; 20.75 m x 10.05 m;2021;Italy, Weast;3300000;Etap;20.75;10.05;2
Vace Yacht Builders Schooner 143;https://www.yachtall.com/en/boat/vace-yacht-builders-schooner-143-s210919; MAN, 1,000 hp (735 kW), diesel; Bénéteau, used boat; 44 m x 8.10 m;2000;Portugal;3300000;Bénéteau;44;8.1;23
Schooner 143;https://www.yachtall.com/en/boat/schooner-143-s216406; MAN, 1,000 hp (735 kW), diesel; Jeanneau, used boat, GRP/polyester; 43.50 m x 8.10 m;2002;Portugal, Portimão;3300000;Jeanneau;43.5;8.1;21
Pendennis Motor Sailer;https://www.yachtall.com/en/boat/pendennis-motor-sailer-s212525; MAN Pax 12VLP, 2 x 3,500 hp (2,574 kW), diesel; Bavaria, used boat, GRP/polyester; 47.24 m x 9.75 m;2004;USA, Florida, Jacksonville;3250000;Bavaria;47.24;9.75;19
OQS Ocean Explorer 60;https://www.boat24.com/en/sailingboats/oqs/oqs-ocean-explorer-60/detail/541299/;;;18.50 x 9.08 m;2014;United Kingdom » Cruising - Arriving Med' July 2023;3000000;OQS;18.5;9.08;9
Premier Composite Technologies jv74;https://www.boat24.com/en/sailingboats/premier-composite-technologies/premier-composite-technologies-jv74/detail/516758/;1 x 160 HP / 118 kW;;24.40 x 5.65 m;2017;Turkey » Marmaris;3000000;Premier;24.4;5.65;6
Custom made Motor Sailor;https://www.yachtall.com/en/boat/custom-made-motor-sailor-s204061; Caterpillar, 2 x 542 hp (399 kW), diesel; Dehler, used boat, GRP/polyester; 44 m x 8.80 m;2009;Turkey;3000000;Dehler;44;8.8;14
Castagnola ONE Force 131';https://www.yachtall.com/en/boat/castagnola-one-force-131-s212351; MAN, 2 x 470 hp (346 kW), diesel; Jachtwerf Valk, used boat, steel boat; 40 m x 8.20 m;2013;France, Saint-Tropez;3000000;Jachtwerf Valk;40;8.2;10
Valdettaro Manutara 114;https://www.yachtall.com/en/boat/valdettaro-manutara-114-s166680; MTU 12V 183, 425 hp (313 kW), diesel; Sunbeam, used boat; 35 m x 7.95 m;1994;Italy, Ancona;2900000;Sunbeam;35;7.95;29
35M Luxury Sailing Yacht;https://www.yachtall.com/en/boat/35m-luxury-sailing-yacht-s55623; Cummins, 2 x 455 hp (335 kW), diesel; Jeanneau, used boat; 24 m x 6.60 m;2009;Turkey;2750000;Jeanneau;24;6.6;14
Dufour 412;https://www.yachtall.com/en/boat/dufour-412-s213254; Volvo Penta D2-50, 50 hp (37 kW), diesel; Hallberg-Rassy, used boat, GRP/polyester; 12.35 m x 4.20 m;2019;Norway, Vollen Marina Gjestehavn;2750000;Hallberg-Rassy;12.35;4.2;4
Contest 72CS;https://www.boat24.com/en/sailingboats/contest/contest-72cs/detail/467763/;1 x 216 HP / 159 kW;;21.90 x 5.69 m;2013;Italy;2700000;Contest;21.9;5.69;10
Wally 94;https://www.yachtall.com/en/boat/wally-94-s208753; Cummins, 250 hp (184 kW), diesel; Wally Yachts, used boat, Kevlar/Carbon; 28.54 m x 6.40 m;2005;Italy, Contact De Valk Antibes;2700000;Wally Yachts;28.54;6.4;18
Lunstroo Schooner 3100;https://www.yachtall.com/en/boat/lunstroo-schooner-3100-s144469; John Deere, 300 hp (221 kW), diesel; Jeanneau, used boat; 31 m x 6.10 m;1982;Netherlands, Contact De Valk Hindeloopen;2600000;Jeanneau;31;6.1;41
Nautor's Swan 55;https://www.yachtall.com/en/boat/nautors-swan-55-s203983; Perkins Sabre 6.3544, 174.3 hp (128 kW), diesel; Schooner, used boat, wooden boat; 17.75 m x 5 m;2022;Spain, Palma Di Maiorca, Baleari;2500000;Schooner;17.75;5;1
Viking Ship Construction Motorsailer;https://www.yachtall.com/en/boat/viking-ship-construction-motorsailer-s113417; Volvo Penta D12, 2 x 552 hp (406 kW), diesel; Maxi Dolphin, used boat, Kevlar/Carbon; 36 m x 8 m;2011;Turkey;2500000;Maxi Dolphin;36;8;12
McConaghy MC53;https://www.boat24.com/en/sailingboats/mcconaghy-mc53/detail/527032/;;;16.15 x 14.99 m;2022;Denmark;2494260;McConaghy;16.15;14.99;1
Maxi Dolphin 62;https://www.boat24.com/en/sailingboats/maxi-dolphin/maxi-dolphin-62/detail/537942/;;;18.90 x 5.40 m;2020;Spain » Barcelona;2430000;Maxi;18.9;5.4;3
2022 Refit Marc Lombard SY;https://www.yachtall.com/en/boat/2022-refit-marc-lombard-sy-s186420; FPT, 380 hp (279 kW), diesel; Moody, used boat; 11.70 m x 3.86 m;1995;Italy, Sicily;2400000;Moody;11.7;3.86;28
35M, 6 Cabins Malta Commercial;https://www.yachtall.com/en/boat/35m-6-cabins-malta-commercial-s148935; Baudouin, 2 x 400 hp (294 kW), diesel; Dufour, used boat, GRP/polyester; 13.25 m x 4.35 m;2003;Turkey, Bodrum;2400000;Dufour;13.25;4.35;20
Maxi Dolphin 62 ab;https://www.boat24.com/en/sailingboats/maxi-dolphin/maxi-dolphin-62-ab/detail/513134/;;;18.90 x 5.40 m;2020;Spain » Barcelona;2350000;Maxi;18.9;5.4;3
Gulet Caicco ECO 765;https://www.yachtall.com/en/boat/gulet-caicco-eco-765-s211783; Caterpillar, 2 x 490 hp (360 kW), diesel; Bénéteau, used boat; 30.60 m x 7.50 m;2009;Turkey;2250000;Bénéteau;30.6;7.5;14
Alexander Stephen & Sons 36 mtr Schooner;https://www.yachtall.com/en/boat/alexander-stephen-sons-36-mtr-schooner-s209299; Volvo Penta, 238 hp (175 kW), diesel; Bénéteau, demonstration model, GRP/polyester; 36.50 m x 6.09 m;1936;France, Contact De Valk Antibes;2250000;Bénéteau;36.5;6.09;87
CNB 76;https://www.yachtall.com/en/boat/cnb-76-s193440; Volvo Penta D 4, 180 hp (132 kW), diesel; CNB, used boat, GRP/polyester; 23.17 m x 6.10 m;2014;Spain, Calpe;2200000;CNB;23.17;6.1;9
NG Yachts NG 66;https://www.yachtall.com/en/boat/ng-yachts-ng-66-s102325; Volvo Penta D200, 2 x 440 hp (324 kW); Custom built/Eigenbau, used boat; 21 m x 9 m;2017;Greece;2190000;Custom built/Eigenbau;21;9;6
CNB 66;https://www.boat24.com/en/sailingboats/cnb/cnb-66/detail/521575/;1 x 175 HP / 129 kW;;21.36 x 5.51 m;2021;France » Languedoc Roussillon » Méditerranée;2150000;CNB;21.36;5.51;2
X-Yachts X6.5;https://www.boat24.com/en/sailingboats/x-yachts/x-yachts-x65/detail/549333/;1 x 160 HP / 118 kW;;19.18 x 5.40 m;2016;Netherlands » North Sea;2100000;X-Yachts;19.18;5.4;7
JFA/Vitters 82 Sloop;https://www.yachtall.com/en/boat/jfa-vitters-82-sloop-s150616; Yanmar 6LPA-STP2, 300 hp (221 kW); Bavaria, used boat, GRP/polyester; 25.13 m x 6 m;2002;Brazil;2100000;Bavaria;25.13;6;21
RSC Yachts 1900;https://www.yachtall.com/en/boat/rsc-yachts-1900-s158627; Volvo Penta D3, 150 hp (110 kW), diesel; RSC Yachts, used boat; 19.15 m x 5.30 m;2023;France, Pays - Bas;2049000;RSC Yachts;19.15;5.3;0
Mylius 76 DS Explorer HD;https://www.yachtall.com/en/boat/mylius-76-ds-explorer-hd-s202599; Steyr, 220 hp (162 kW), diesel; Mylius Yachts, used boat; 23.25 m x 5.92 m;2016;Italy, Lazio;2000000;Mylius Yachts;23.25;5.92;7
Owen Clarke 66;https://www.boat24.com/en/sailingboats/owen-clarke-66/detail/548087/;;;20.07 x 6.14 m;2018;Belgium;1995000;Owen;20.07;6.14;5
Owen Clarke 66;https://www.yachtall.com/en/boat/owen-clarke-66-s213509; Yanmar 4JH4, 110 hp (81 kW), diesel; Owen Clarke, used boat, aluminium boat; 20.07 m x 6.14 m;2018;Belgium;1995000;Owen Clarke;20.07;6.14;5
Solaris 68 RS;https://www.boat24.com/en/sailingboats/solaris/solaris-68-rs/detail/522440/;;;20.79 x 5.49 m;2017;Spain » Mallorca » Palma de Mallorca;1950000;Solaris;20.79;5.49;6
Bestevaer 73;https://www.yachtall.com/en/boat/bestevaer-73-s177642; Yanmar 4JH57, 57 hp (42 kW), diesel; Bestevaer, used boat, aluminium boat; 22.25 m x 4.60 m;2004;Netherlands;1950000;Bestevaer;22.25;4.6;19
CCYD 75;https://www.yachtall.com/en/boat/ccyd-75-s163353; Perkins Sabre, 2 x 135 hp (99 kW), diesel; CCYD Venezia, used boat, steel boat; 23.50 m x 5.90 m;1988;Netherlands, Contact De Valk Monnickendam;1950000;CCYD Venezia;23.5;5.9;35
CNB 76;https://www.yachtall.com/en/boat/cnb-76-s159146; Volvo Penta D4, 180 hp (132 kW); CNB, used boat; 23.40 m x 6.10 m;2014;France, Sète;1920000;CNB;23.4;6.1;9
ICE Yachts Vallicelli 80;https://www.yachtall.com/en/boat/ice-yachts-vallicelli-80-s205388; Cummins 6BTA 5.9 Shaft, 315 hp (232 kW); ICe Yachts, used boat; 23.80 m x 6.02 m;2009;Italy, Toscana;1900000;ICe Yachts;23.8;6.02;14
Schooner 125;https://www.yachtall.com/en/boat/schooner-125-s197634; John Deere, 330 hp (243 kW), diesel; X-Yachts, used boat, GRP/polyester; 38 m x 7 m;2008;Portugal, Lisbon;1900000;X-Yachts;38;7;15
CNB 66;https://www.boat24.com/en/sailingboats/cnb/cnb-66/detail/532006/;1 x 180 HP / 132 kW;;21.36 x 5.51 m;2018;United States Minor Outlying Islands » Portland / Main;1895000;CNB;21.36;5.51;5
CNB 66;https://www.boat24.com/en/sailingboats/cnb/cnb-66/detail/531430/;1 x 180 HP / 132 kW;;21.36 x 5.51 m;2018;United States » Portland (Maine);1895000;CNB;21.36;5.51;5
Ocean Shipyard Bluewater 50;https://www.boat24.com/en/sailingboats/ocean-shipyard-bluewater-50/detail/541165/;1 x 2.0 HP / 1.5 kW;;16.30 x 7.90 m;2020;Italy;1885000;Ocean;16.3;7.9;3
Aluminium RSC 1900;https://www.boat24.com/en/sailingboats/aluminium-rsc-1900/detail/502331/;;;19.15 x 5.30 m;2019;Netherlands » onbekend;1850000;Aluminium;19.15;5.3;4
Aluminium RSC 1900;https://www.yachtall.com/en/boat/aluminium-rsc-1900-s178589; Volvo Penta, 30 hp (22 kW), diesel; Aluminium RSC, used boat, aluminium boat; 19.15 m x 5.30 m;2019;Netherlands;1850000;Aluminium RSC;19.15;5.3;4
Mural 28 M;https://www.yachtall.com/en/boat/mural-28-m-s211360; Cummins, 2 x 326 hp (240 kW); Bénéteau, used boat; 28 m x 7.46 m;2011;Spain, Barcelone, Costa Brava;1850000;Bénéteau;28;7.46;12
Nautor Swan 60 FD;https://www.boat24.com/en/sailingboats/nautor-swan-60-fd/detail/495925/;;;18.86 x 5.09 m;2018;Spain » Barcelona;1800000;Nautor;18.86;5.09;5
Bavaria 30 Cruiser;https://www.yachtall.com/en/boat/bavaria-30-cruiser-s1001; Volvo Penta 2040 Turbo, 2 x 123 hp (90 kW), diesel; Jeanneau, used boat, GRP/polyester; 9.45 m x 3.29 m;2005;USA, Texas, Dallas;1800000;Jeanneau;9.45;3.29;18
Nautor's Swan 54;https://www.yachtall.com/en/boat/nautors-swan-54-s203984; Yanmar, 45 hp (33 kW), diesel; Nautor's Swan, used boat; 16.48 m x 4.75 m;2019;Spain, Badalona;1790000;Nautor's Swan;16.48;4.75;4
Custom Unity 75;https://www.boat24.com/en/sailingboats/custom-unity-75/detail/545353/;;;23.15 x 6.20 m;2014;Turkey » Marmaris;1750000;Custom;23.15;6.2;9
CNB 76;https://www.boat24.com/en/sailingboats/cnb/cnb-76/detail/541949/;1 x 180 HP / 132 kW;;23.16 x 6.10 m;2014;Spain » Mallorca » Palma;1750000;CNB;23.16;6.1;9
Oceanic Sailing Yacht;https://www.yachtall.com/en/boat/oceanic-sailing-yacht-s168549; Lugger L1064T, 100 hp (74 kW), diesel; KM Yachtbuilders, used boat, aluminium boat; 20.25 m x 5 m;2014;Spain;1750000;KM Yachtbuilders;20.25;5;9
Gulet Caicco ECO 474;https://www.yachtall.com/en/boat/gulet-caicco-eco-474-s43777; Caterpillar, 2 x 500 hp (368 kW), diesel; Goetz Custom Sailboats, used boat, Kevlar/Carbon; 31 m x 7.40 m;1998;Turkey;1750000;Goetz Custom Sailboats;31;7.4;25
CNB 76;https://www.yachtall.com/en/boat/cnb-76-s209761; Volvo Penta D 4, 180 hp (132 kW), diesel; Lagoon, used boat, wooden boat; 23.16 m x 6.10 m;2014;Spain, Palma;1750000;Lagoon;23.16;6.1;9
Custom built Unity 75;https://www.yachtall.com/en/boat/custom-built-unity-75-s183755; SOLE Diesel SDZ-205, 200 hp (147 kW); Bénéteau, used boat, GRP/polyester; 23.15 m x 6.20 m;2014;Turkey, Marmaris;1750000;Bénéteau;23.15;6.2;9
Bali Catamarans 5.4 Open Space;https://www.boat24.com/en/sailingboats/bali-catamarans/bali-catamarans-54-open-space/detail/547201/;2 x 80 HP / 59 kW;;16.80 x 8.73 m;2022;Italy » Sardegna » Olbia;1700000;Bali;16.8;8.73;1
Van Dam Nordia PC 70;https://www.boat24.com/en/sailingboats/van-dam-nordia/van-dam-nordia-pc-70/detail/442712/;;;21.34 x 5.85 m;2017;Turkey » Gocek;1700000;Van;21.34;5.85;6
Yachting Developments LUCA Brenta 74;https://www.yachtall.com/en/boat/yachting-developments-luca-brenta-74-s199432; Yanmar, 230 hp (169 kW), diesel; Yachting Developments, used boat, GRP/polyester; 22.60 m x 5.58 m;2000;Italy;1700000;Yachting Developments;22.6;5.58;23
Baltic Yachts 62;https://www.boat24.com/en/sailingboats/baltic-yachts-62/detail/548086/;;;19.45 x 4.83 m;2011;Italy » La Spezia;1650000;Baltic;19.45;4.83;12
Black Pepper Code 2;https://www.boat24.com/en/sailingboats/black-pepper/black-pepper-code-2/detail/487313/;1 x 110 HP / 81 kW;;17.50 x 5.30 m;2019;Switzerland » Lake Geneva » MEINIER;1650000;Black;17.5;5.3;4
Classic Sailing Yacht;https://www.yachtall.com/en/boat/classic-sailing-yacht-s209804; Iveco, 360 hp (265 kW), diesel; Custom built/Eigenbau, used boat, mahogany; 24 m x 7.10 m;1993;Turkey, Fethiye;1600000;Custom built/Eigenbau;24;7.1;30
Maxi Dolphin Sloop 80';https://www.yachtall.com/en/boat/maxi-dolphin-sloop-80-s200987; Yanmar 4LH, 170 hp (125 kW), diesel; Maxi Dolphin, used boat, GRP/polyester; 24.39 m x 5.86 m;1995;Monaco;1600000;Maxi Dolphin;24.39;5.86;28
MP Yachts 670S;https://www.yachtall.com/en/boat/mp-yachts-670s-s191897; Yanmar 4JH45 CR LA, 45 hp (33 kW), diesel; MP Yachts, used boat; 20 m x 5 m;2021;Spain;1600000;MP Yachts;20;5;2
Nautor's Swan 54;https://www.yachtall.com/en/boat/nautors-swan-54-s202911; Yanmar, 108 hp (79 kW); Nautor's Swan, used boat; 16.48 m x 4.75 m;2019;Spain, Badalona;1590000;Nautor's Swan;16.48;4.75;4
Catana 53;https://www.yachtall.com/en/boat/catana-53-s166858; Yanmar 4JH80, 2 x 160 hp (118 kW); Catana, used boat; 17 m x 8.65 m;2019;Spain, Mer Méditerranée;1550000;Catana;17;8.65;4
Abeking & Rasmussen 82 ONE-OFF;https://www.yachtall.com/en/boat/abeking-rasmussen-82-one-off-s92875; Cummins 6BTA, 280 hp (206 kW), diesel; Abeking & Rasmussen, used boat; 25 m x 4.95 m;1965;Spain, Alicante;1550000;Abeking & Rasmussen;25;4.95;58
Gulet Caicco ECO 226;https://www.yachtall.com/en/boat/gulet-caicco-eco-226-s46264; Caterpillar, 550 hp (405 kW), diesel; Amel, used boat; 33 m x 7.20 m;1999;Turkey;1500000;Amel;33;7.2;24
Passenger Vessel Minerva;https://www.yachtall.com/en/boat/passenger-vessel-minerva-s206235; MAK, 180 hp (132 kW), diesel; Najad, used boat; 49 m x 7 m;1935;Netherlands, Contact De Valk Hindeloopen;1500000;Najad;49;7;88
ICE Yachts ICE 60;https://www.yachtall.com/en/boat/ice-yachts-ice-60-s216217; Volvo Penta D3, 150 hp (110 kW), diesel; Jeanneau, used boat, GRP/polyester; 17.99 m x 5.20 m;2019;Italy, Sicilia;1500000;Jeanneau;17.99;5.2;4
33M, 11 Cabin Gulet;https://www.yachtall.com/en/boat/33m-11-cabin-gulet-s82235; Caterpillar, 550 hp (405 kW), diesel; Gebr. de Kloet, used boat, GRP/polyester; 8.35 m x 2.95 m;1999;Turkey;1500000;Gebr. de Kloet;8.35;2.95;24
Nautor's Swan 48;https://www.yachtall.com/en/boat/nautors-swan-48-s203985; Volvo Penta D-2, 75 hp (55 kW); Jeanneau, used boat, GRP/polyester; 14.75 m x 4.59 m;2019;Italy, Toscana;1500000;Jeanneau;14.75;4.59;4
SOTO 65;https://www.yachtall.com/en/boat/soto-65-s164336; Volvo Penta D2, 75 hp (55 kW), diesel; SOTO, used boat, Kevlar/Carbon; 21.09 m x 5.68 m;2014;Spain, Valencia;1500000;SOTO;21.09;5.68;9
CNB 66;https://www.yachtall.com/en/boat/cnb-66-s204365; 180 hp (132 kW), diesel; Jeanneau, used boat, GRP/polyester; 20 m x 5.51 m;2020;Italy, Livourne;1490000;Jeanneau;20;5.51;3
Southern Wind SW78;https://www.yachtall.com/en/boat/southern-wind-sw78-s156899; Yanmar, 240 hp (177 kW); Southern Wind, used boat; 23.99 m x 5.91 m;2001;Great Britain;1490000;Southern Wind;23.99;5.91;22
Hanse 675;https://www.yachtall.com/en/boat/hanse-675-s203059; 225 hp (165 kW), diesel; Bénéteau, used boat; 21.10 m x 5.90 m;2019;Italy, Salerno;1480000;Bénéteau;21.1;5.9;4
"22M, Steel Gulet, CE CAT. ""A""";https://www.yachtall.com/en/boat/22m-steel-gulet-ce-cat.-a-s140945; Volvo Penta, 600 hp (441 kW), diesel; Archambault, used boat; 10.67 m x 3.35 m;2015;Turkey, Bodrum;1450000;Archambault;10.67;3.35;8
27m RINA Gulet;https://www.yachtall.com/en/boat/27m-rina-gulet-s200758; Cummins, 2 x 255 hp (188 kW), diesel; Nautor's Swan, used boat, GRP/polyester; 20.12 m x 5.39 m;2006;Turkey;1450000;Nautor's Swan;20.12;5.39;17
Shipman 72;https://www.yachtall.com/en/boat/shipman-72-s204864; Yanmar 4LHA, 250 hp (184 kW); Jantar, used boat, GRP/polyester; 21.95 m x 5.49 m;2009;France, Saint-Tropez;1450000;Jantar;21.95;5.49;14
