Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Dehler 38SQ;https://www.boat24.com/en/sailingboats/dehler/dehler-38sq/detail/528025/;1 x 28 HP / 21 kW;;12.07 x 3.75 m;2021;Sweden » Svealand » Stockholm;280700;Dehler;12.07;3.75;2
Hallberg-Rassy 340;https://www.boat24.com/en/sailingboats/hallberg-rassy/hallberg-rassy-340/detail/545733/;1 x 29 HP / 21 kW;;10.36 x 3.47 m;2018;Spain » Costa de Valencia » Valencia;280000;Hallberg-Rassy;10.36;3.47;5
Dufour 390;https://www.boat24.com/en/sailingboats/dufour/dufour-390/detail/541361/;1 x 50 HP / 37 kW;;11.20 x 3.99 m;2020;Germany » Schleswig-Holstein » Laboe bei Kiel;280000;Dufour;11.2;3.99;3
Jeanneau 57;https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-57/detail/510814/;;;17.78 x 5.00 m;2010;Italy » onbekend;280000;Jeanneau;17.78;5;13
Bavaria 51 Style;https://www.boat24.com/en/sailingboats/bavaria/bavaria-51-style/detail/328782/;1 x 75 HP / 55 kW;;14.99 x 4.67 m;2017;Spain » Valencia;280000;Bavaria;14.99;4.67;6
Gulet Caicco ECO 258;https://www.yachtall.com/en/boat/gulet-caicco-eco-258-s37849; Volvo Penta, 357 hp (263 kW), diesel; Elan, used boat, GRP/polyester; 18 m x 5.10 m;1990;Turkey;280000;Elan;18;5.1;33
Hallberg-Rassy 46;https://www.yachtall.com/en/boat/hallberg-rassy-46-s210290; Yanmar, 100 hp (74 kW), diesel; Nordia, used boat, aluminium boat; 14.78 m x 4.35 m;2000;Israel;280000;Nordia;14.78;4.35;23
Bénéteau Sense 50;https://www.yachtall.com/en/boat/beneteau-sense-50-s209563; Yanmar 4JH4TCE, 75 hp (55 kW), diesel; Dübbel & Jesse, used boat, aluminium boat; 15.27 m x 4.76 m;2012;France, Saint Cyprien;280000;Dübbel & Jesse;15.27;4.76;11
Amel Super Maramu;https://www.yachtall.com/en/boat/amel-super-maramu-s204853; 68 hp (50 kW), diesel; Fareast Boats, used boat, GRP/polyester; 15.86 m x 4.60 m;1996;France, Port-Saint-Louis-du-Rhône;280000;Fareast Boats;15.86;4.6;27
Océanis 40.1;https://www.yachtall.com/en/boat/oceanis-40.1-s212990; Yanmar 4J4H5CR, 45 hp (33 kW), diesel; Bénéteau, used boat, GRP/polyester; 12.01 m x 4.19 m;2023;Greece, Lavrio Port;280000;Bénéteau;12.01;4.19;0
Bénéteau Océanis 55;https://www.yachtall.com/en/boat/beneteau-oceanis-55-s217665; Yamaha, 75 hp (55 kW), diesel; Catalina, used boat, GRP/polyester; 16.78 m x 4.96 m;2015;France;280000;Catalina;16.78;4.96;8
Frers;https://www.yachtall.com/en/boat/frers-s181301; Perkins Sabre, 55 hp (40 kW), diesel; Frers, used boat, aluminium boat; 12.50 m x 4.21 m;1977;USA, California, Long Beach;279000;Frers;12.5;4.21;46
Bénéteau Océanis 40.1;https://www.yachtall.com/en/boat/beneteau-oceanis-40.1-s194990; Yanmar 4JH45 CR LA, 45 hp (33 kW), diesel; Botnia Marin / Targa, used boat, GRP/polyester; 12.87 m x 4.19 m;2021;France, Port Camargue;279000;Botnia Marin / Targa;12.87;4.19;2
Bénéteau Océanis 523;https://www.yachtall.com/en/boat/beneteau-oceanis-523-s195869; Yanmar 4JH4, 110 hp (81 kW), diesel; Burmester-Werft, old-timer, wooden boat; 16.20 m x 4.88 m;2008;France, Agde;279000;Burmester-Werft;16.2;4.88;15
Bénéteau Océanis 40.1;https://www.yachtall.com/en/boat/beneteau-oceanis-40.1-s209464; Yanmar, 45 hp (33 kW), diesel; Dufour, used boat, GRP/polyester; 12.87 m x 4.19 m;2021;France, Port Camargue;279000;Dufour;12.87;4.19;2
Bénéteau First 50;https://www.yachtall.com/en/boat/beneteau-first-50-s211355; diesel; Bénéteau, used boat; 9.70 m x 2.90 m;2008;Croatia, Pula;278000;Bénéteau;9.7;2.9;15
Dufour 460 Grandlarge;https://www.boat24.com/en/sailingboats/dufour/dufour-460-grandlarge/detail/488584/;1 x 75 HP / 55 kW;;14.15 x 4.50 m;2019;Italy » Sardegna » Sardegna - Costa Smeralda;277000;Dufour;14.15;4.5;4
Dufour 460 Grandlarge;https://www.yachtall.com/en/boat/dufour-460-grandlarge-s137480; Volvo Penta D2-75, 75 hp (55 kW); Custom built/Eigenbau, used boat; 14.15 m x 4.50 m;2019;Italy, Sardegna - Costa Smeralda;277000;Custom built/Eigenbau;14.15;4.5;4
